STT,Tên KPI (Ti?ng Vi?t),Công th?c/C? s? tính toán,Các Tr??ng D? Li?u JIRA Liên Quan,,Datatest ko tính ???c,C? hai ko tính ???c
1,CircleTime,Tính th?i gian hoàn thành Task trên t?ng s? task ???c tính KPI này,"Created, Resolved, Estimate",,,
2,CompletioRate,T? l? hoàn thành tasks tính t? ??u d? án ??n cu?i d? án c?a nhân viên,"created, Status, Resolved",,,
3,Quality,D?a trên Watcher,S? l??ng Watchers,,,
4,Ph??ng sai Ngày Hoàn thành,Due Date?Resolved Date (tính trung bình ho?c t?ng h?p theo Sprint/D? án).,"duedate, resolutiondate",$$\text{Variance} = \text{Average}(\text{Date}(\text{duedate}) - \text{Date}(\text{resolutiondate}))$$,,
5,Th?i gian Ph?n h?i L?n ??u,Giá tr? c?a tr??ng Time to first response.,Time to first response (customfield_12609),,,
6,Ph??ng sai ??c tính Công vi?c (Task),Original Estimate?Time Spent,"Original Estimate, Time Spent",$$\text{Variance} = \sum_{\text{All Issues}} (\text{timeoriginalestimate} - \text{timespent})$$,,
7,T? l? Chính xác ??c tính T?ng th?,?Time Spent?Original Estimate? (T? l? lý t??ng là 1.0),"? Original Estimate, ? Time Spent",$$\text{Accuracy Ratio} = \frac{\sum \text{timespent}}{\sum \text{timeoriginalestimate}}$$,,
8,T? l? Hoàn thành Theo K? ho?ch (Sprint/Epic) (Velocity,? Story Points ?a˜ cam keˆ?t trong Sprint/Epic? Story Points hoa?n tha?nh?,"customfield_10002 (Story Points), resolution",$$\text{Ratio} = \frac{\sum \text{Story Points ?ã hoàn thành (resolved)}}{\sum \text{Story Points ?ã cam k?t ban ??u}}$$,,
9,T? l? Phân b? (Utilized) Công vi?c,T?ng th?i gian la?m vi?c co? th? co? c?a Assignee?Time Spent c?a Assignee?,"timespent, assignee",$$\text{Utilization} = \frac{\sum \text{timespent c?a Assignee}}{\text{T?ng th?i gian làm vi?c có th? có c?a Assignee}}$$,x,
10,?? Chính xác c?a Story Points,Trung bình Time SpentStory Points? (T? l? th?i gian th?c t? so v?i ?i?m ??c tính).,"Story Points, timespent, customfield_10002",$$\text{SP Accuracy} = \text{Average}\left(\frac{\text{timespent}}{\text{customfield\_10002}}\right)$$,,
11,T? l? L?i (Bug) Theo T?ng Task,"T?ng soˆ? Issue (Task, Story, Bug,...)Soˆ? l??ng Issue Type la? Bug?","Issue Type, resolution, fixVersions","$$\text{Bug Ratio} = \frac{\text{S? l??ng Issue Type là Bug}}{\text{T?ng s? Issue (Task, Story, Bug, v.v.)}}$$",,
12,M?t ?? L?i (theo Affects Version),K??ch th??c Version (v?? d?: Story Points c?a Version ?o?)Soˆ? Bug trong Affects Version?,"Issue Type, versions (Affects Version/s), customfield_10002",$$\text{Bug Density} = \frac{\text{S? Bug trong Affects Version}}{\text{? Story Points c?a Affects Version}}$$,,
13,Th?i gian Gi?i quy?t L?i (Bug Resolution Time),Trung b??nh th?i gian t? Created ?eˆ?n Resolved ch? cho Issue Type là Bug.,"Issue Type, created, resolutiondate",$$\text{Resolution Time} = \text{Average}(\text{Date}(\text{resolutiondate}) - \text{Date}(\text{created}))$$,,
14,T? l? L?i Nghiêm tr?ng,T?ng soˆ? BugSoˆ? Bug co? Priority la? Blocker/Critical?,"Issue Type, Priority",$$\text{Critical Bug Ratio} = \frac{\text{S? Bug có Priority = Blocker/Critical}}{\text{T?ng s? Bug}}$$,,
15,T? l? L?i b? M? l?i (Reopened Rate),T?ng soˆ? Bug ?a˜ ?o?ngSoˆ? laˆ?n Status chuy?n t? Resolved sang In Progress/Open? (C?n theo dõi l?ch s? tr?ng thái trong tr??ng Comment/Log Work).,"Issue Type, Status, Resolution",$$\text{Reopened Rate} = \frac{\text{S? l?n chuy?n Status t? Resolved sang In Progress/Open}}{\text{T?ng s? Bug ?ã Resolved}}$$,,
16,?? L?n Task (Complexity Score),Story Points ho?c Estimated Difficulty (N?u có),"Story Points, Custom field (Estimated Difficulty)",giá tr? c?a customfield_10002 (Story Points) ho?c customfield_12310092 (Estimated Difficulty).,,
17,M?c ?? Liên k?t Task (Connectivity),S? l??ng Inward/Outward issue link c?a m?t Task. Task càng liên k?t nhi?u càng ph?c t?p.,"Inward issue link, Outward issue link (t?t c? các lo?i link)",,,
18,M?c ?? Tham gia (Involvement),"S? l??ng ng??i tham gia vào Task (Assignee, Reporter, Creator, Watchers, Request participants).","Assignee, Reporter, Creator, Watchers, Custom field (Request participants)","$$\text{Involvement Count} = \text{Count}(\text{assignee}, \text{reporter}, \text{creator}, \text{watchers}, \text{customfield\_18831})$$",x,
19,Th?i gian ?? Phân b? Công vi?c (Assignment Time),Th?i gian t? lúc Task ???c Created ??n lúc có Assignee l?n ??u tiên.,"Created, Assignee, Comment",$$\text{Assignment Time} = \text{Date}(\text{First Assignment Date}) - \text{Date}(\text{created})$$,x,
20,Code Churn,?ánh giá m?c ?? th??ng xuyên thay ??i c?a code trong 1 kho?ng th?i gian nh?t ??nh,"customfield_12313924 (Source Control Link): Dùng ?? truy xu?t d? li?u SCM (Lines Added/Modified/Deleted). created, updated: Dùng ?? xác ??nh kho?ng th?i gian.",$$\text{Code Churn} = \frac{\sum (\text{Lines Added} + \text{Lines Modified})}{\text{S? ngày ho?c S? tu?n}}$$,x,
21,Code stability,M?c ?? ?n ??nh có th? ???c ?ánh giá = nhi?u công th?c ,,$$\text{Code Stability} = 1 - \frac{\text{S? l??ng Bug Issue trong Release (Fix Version/s)}}{\text{T?ng s? Issue trong Release (Fix Version/s)}}$$fixVersions,x,
22,Code Coverage,"?ánh giá m?c ?? code ???c ki?m th? b?ng các bài ki?m th? t? ??ng (Unit Test, Integration Test",resolution (Resolution) customfield_12312848 (QE Test Coverage) customfield_14430 (Done Criteria),Yêu c?u Issue/Task ch? ???c coi là Resolved khi giá tr? QE Test Coverage ??t ng??ng t?i thi?u ($N\%$).,x,
23,PR Size,PR Size ??m s? l??ng dòng code thay d?i trong pull request ,,,x,x
24,Deployment Frequency,S? l?n push code lên production,,,x,x
25,Merge Fredquency,S? l?n t?o pull request m?i tu?n,,,x,x
26,Coding Time,Th?i gian t? commit ??u ??n khi t?o pull request -> m?c ?ích là ?? ki?m tra team ?ã hi?u hêt spec ch?a có c?n thay ??i j ko ,,,x,x
